전체,컬럼별,사례수,"관광 활동(관광지 정보, 레포츠 등)",교통편 및 이동거리,숙박시설,음식점 및 먹거리,쇼핑(면세점 등),"편의시설(WI-FI, 병원, 금융 등)",코로나 방역,치안,코로나 확진자 수/동선,병원/코로나 진료소,기타
권역,서울/경인권,674,23.7,12.8,37.2,15.6,2.7,3,2.7,0.7,1.3,0.3,0
권역,경상권,170,27.1,20,31.8,13.5,1.8,0.6,4.1,0,0.6,0,0.6
권역,호남권,72,30.6,15.3,29.2,11.1,5.6,2.8,4.2,0,1.4,0,0
권역,충청/강원권,84,29.8,20.2,26.2,16.7,1.2,3.6,1.2,0,0,0,1.2
제주여행 계획월,7월,303,24.4,18.2,33,15.5,3.3,2,2.3,0.7,0.3,0.3,0
제주여행 계획월,8월,697,25.7,13.3,35.6,14.8,2.3,2.9,3.2,0.4,1.4,0.1,0.3
성별,남자,580,25.2,14.5,37.4,12.2,3.4,2.8,2.2,0.5,1.2,0.3,0.2
성별,여자,420,25.5,15.2,31.2,18.8,1.4,2.4,3.8,0.5,1,0,0.2
연령,15~20세,33,18.2,27.3,36.4,15.2,0,3,0,0,0,0,0
연령,21~30세,153,23.5,19,30.7,15.7,3.3,5.2,1.3,0.7,0,0.7,0
연령,31~40세,278,25.5,11.9,33.8,15.1,4.7,2.5,3.2,1.1,1.4,0.4,0.4
연령,41~50세,315,27.6,16.8,33.7,13.3,1.9,2.9,2.9,0,0.6,0,0.3
연령,51~60세,155,27.1,12.3,37.4,16.1,1.3,0.6,3.2,0,1.9,0,0
연령,61세 이상,66,16.7,7.6,47,18.2,0,0,6.1,1.5,3,0,0
직업,학생,65,18.5,27.7,35.4,13.8,0,4.6,0,0,0,0,0
직업,사무/전문직,663,25.5,14.3,36.2,14.6,2.9,2,2.9,0.8,0.6,0.2,0.2
직업,판매/기술직,106,30.2,12.3,24.5,14.2,4.7,7.5,3.8,0,2.8,0,0
직업,자영업,59,18.6,15.3,44.1,11.9,1.7,1.7,1.7,0,3.4,0,1.7
직업,전업주부,77,26,11.7,35.1,20.8,0,1.3,2.6,0,2.6,0,0
직업,기타(무직 등),30,30,13.3,20,20,3.3,0,10,0,0,3.3,0
월 평균 가구소득,400만원 미만,205,22,17.6,32.2,18.5,2.9,2,2.9,0,1.5,0,0.5
월 평균 가구소득,400-599만원,324,25.9,17.6,29.9,15.7,1.9,3.4,2.8,0.9,1.5,0,0.3
월 평균 가구소득,600-799만원,220,29.1,12.3,33.6,13.6,3.2,2.7,4.1,0,0.9,0.5,0
월 평균 가구소득,800만원 이상,251,23.9,11.2,44.2,12.4,2.8,2,2,0.8,0.4,0.4,0
거주지역,서울특별시,429,24.5,13.1,37.5,14.5,2.6,3,2.6,0.9,0.9,0.5,0
거주지역,부산광역시,67,22.4,26.9,35.8,10.4,1.5,0,3,0,0,0,0
거주지역,대구광역시,51,33.3,17.6,27.5,13.7,0,0,5.9,0,0,0,2
거주지역,인천광역시,59,22,13.6,35.6,13.6,5.1,3.4,5.1,0,1.7,0,0
거주지역,광주광역시,37,24.3,16.2,27,10.8,5.4,5.4,8.1,0,2.7,0,0
거주지역,대전광역시,33,36.4,12.1,30.3,15.2,0,3,0,0,0,0,3
거주지역,울산광역시,21,28.6,14.3,14.3,28.6,9.5,0,4.8,0,0,0,0
거주지역,세종특별자치도,3,33.3,33.3,0,33.3,0,0,0,0,0,0,0
거주지역,경기도,186,22.6,11.8,37.1,18.8,2.2,2.7,2.2,0.5,2.2,0,0
거주지역,강원도,16,25,18.8,18.8,25,6.2,0,6.2,0,0,0,0
거주지역,충청도,32,25,28.1,28.1,12.5,0,6.2,0,0,0,0,0
거주지역,전라도,35,37.1,14.3,31.4,11.4,5.7,0,0,0,0,0,0
거주지역,경상도,31,25.8,12.9,41.9,9.7,0,3.2,3.2,0,3.2,0,0
전체,,1000,25.3,14.8,34.8,15,2.6,2.6,2.9,0.5,1.1,0.2,0.2
